yy,mm,dd,Time,river,week,site,loc,period,wt_lbs,wt_kg,lgth,freq,Flbin
1990,5,14,,,3,23,LOWER,AM,,,252,21,250
1990,5,14,,,3,23,LOWER,AM,,,257,30,255
1990,5,14,,,3,23,LOWER,AM,,,262,17,260
1990,5,14,,,3,23,LOWER,AM,,,267,19,265
1990,5,14,,,3,23,LOWER,AM,,,272,18,270
1990,5,14,,,3,23,LOWER,AM,,,277,9,275
1990,5,14,,,3,23,LOWER,AM,,,282,17,280
1990,5,14,,,3,23,LOWER,AM,,,287,9,285
1990,5,14,,,3,23,LOWER,AM,,,292,5,290
1990,5,14,,,3,23,LOWER,AM,,,297,3,295
1990,5,14,,,3,23,LOWER,AM,,,302,1,300
1990,5,14,,,3,67,UPPER,PM,,,242,4,240
1990,5,14,,,3,67,UPPER,PM,,,247,17,245
1990,5,14,,,3,67,UPPER,PM,,,252,34,250
1990,5,14,,,3,67,UPPER,PM,,,257,29,255
1990,5,14,,,3,67,UPPER,PM,,,262,18,260
1990,5,14,,,3,67,UPPER,PM,,,267,30,265
1990,5,14,,,3,67,UPPER,PM,,,272,19,270
1990,5,14,,,3,67,UPPER,PM,,,277,19,275
1990,5,14,,,3,67,UPPER,PM,,,282,18,280
1990,5,14,,,3,67,UPPER,PM,,,287,14,285
1990,5,14,,,3,67,UPPER,PM,,,292,7,290
1990,5,14,,,3,67,UPPER,PM,,,297,3,295
1990,5,14,,,3,67,UPPER,PM,,,302,3,300
1990,5,14,,,3,67,UPPER,PM,,,307,1,305
1990,5,14,,,3,67,UPPER,PM,,,312,1,310
1990,5,15,,,3,33,UPPER,AM,,,237,1,235
1990,5,15,,,3,33,UPPER,AM,,,242,6,240
1990,5,15,,,3,33,UPPER,AM,,,247,15,245
1990,5,15,,,3,33,UPPER,AM,,,252,31,250
1990,5,15,,,3,33,UPPER,AM,,,257,22,255
1990,5,15,,,3,33,UPPER,AM,,,262,21,260
1990,5,15,,,3,33,UPPER,AM,,,267,25,265
1990,5,15,,,3,33,UPPER,AM,,,272,20,270
1990,5,15,,,3,33,UPPER,AM,,,277,13,275
1990,5,15,,,3,33,UPPER,AM,,,282,12,280
1990,5,15,,,3,33,UPPER,AM,,,287,8,285
1990,5,15,,,3,33,UPPER,AM,,,292,4,290
1990,5,15,,,3,33,UPPER,AM,,,297,4,295
1990,5,15,,,3,33,UPPER,AM,,,302,1,300
1990,5,15,,,3,12,LOWER,PM,,,237,7,235
1990,5,15,,,3,12,LOWER,PM,,,242,8,240
1990,5,15,,,3,12,LOWER,PM,,,247,14,245
1990,5,15,,,3,12,LOWER,PM,,,252,18,250
1990,5,15,,,3,12,LOWER,PM,,,257,20,255
1990,5,15,,,3,12,LOWER,PM,,,262,33,260
1990,5,15,,,3,12,LOWER,PM,,,267,27,265
1990,5,15,,,3,12,LOWER,PM,,,272,28,270
1990,5,15,,,3,12,LOWER,PM,,,277,24,275
1990,5,15,,,3,12,LOWER,PM,,,282,20,280
1990,5,15,,,3,12,LOWER,PM,,,287,18,285
1990,5,15,,,3,12,LOWER,PM,,,292,6,290
1990,5,15,,,3,12,LOWER,PM,,,297,1,295
1990,5,16,,,3,1,LOWER,AM,,,237,3,235
1990,5,16,,,3,1,LOWER,AM,,,242,12,240
1990,5,16,,,3,1,LOWER,AM,,,247,23,245
1990,5,16,,,3,1,LOWER,AM,,,252,20,250
1990,5,16,,,3,1,LOWER,AM,,,257,10,255
1990,5,16,,,3,1,LOWER,AM,,,262,19,260
1990,5,16,,,3,1,LOWER,AM,,,267,25,265
1990,5,16,,,3,1,LOWER,AM,,,272,14,270
1990,5,16,,,3,1,LOWER,AM,,,277,12,275
1990,5,16,,,3,1,LOWER,AM,,,282,11,280
