"id","old_id"
37890,"2000050447"
37891,"2000050448"
37892,"2000050449"
37893,"2000050464"
37894,"2000050502"
37895,"2000050505"
37896,"2000050512"
37897,"2000050515"
37898,"2000050517"
37899,"2000050525"
37900,"2000050526"
37901,"2000050530"
37902,"2000050533"
37903,"2000050535"
37904,"2000050538"
37905,"2000050541"
37906,"2000050547"
37907,"2000050548"
37908,"2000050549"
37909,"2000050564"
37910,"2000050602"
37911,"2000050605"
37912,"2000050612"
37913,"2000050615"
37914,"2000050617"
37915,"2000050625"
37916,"2000050626"
37917,"2000050630"
37918,"2000050633"
37919,"2000050634"
37920,"2000050635"
37921,"2000050638"
37922,"2000050641"
37923,"2000050647"
37924,"2000050648"
37925,"2000050649"
37926,"2000050664"
37927,"2000051002"
37928,"2000051005"
37929,"2000051012"
37930,"2000051015"
37931,"2000051017"
37932,"2000051025"
37933,"2000051026"
37934,"2000051030"
37935,"2000051033"
37936,"2000051034"
37937,"2000051038"
37938,"2000051041"
37939,"2000051047"
37940,"2000051048"
37941,"2000051049"
37942,"2000051051"
37943,"2000051064"
37944,"2000051102"
37945,"2000051105"
37946,"2000051112"
37947,"2000051115"
37948,"2000051117"
37949,"2000051125"
37950,"2000051126"
37951,"2000051130"
37952,"2000051133"
37953,"2000051134"
37954,"2000051138"
37955,"2000051141"
37956,"2000051147"
37957,"2000051148"
37958,"2000051149"
37959,"2000051151"
37960,"2000051164"
37961,"2000051202"
37962,"2000051205"
37963,"2000051212"
37964,"2000051215"
37965,"2000051217"
37966,"2000051225"
37967,"2000051226"
37968,"2000051230"
37969,"2000051233"
37970,"2000051234"
37971,"2000051238"
37972,"2000051241"
37973,"2000051247"
37974,"2000051248"
37975,"2000051249"
37976,"2000051251"
37977,"2000051264"
37978,"2000051302"
37979,"2000051305"
37980,"2000051312"
37981,"2000051315"
37982,"2000051317"
37983,"2000051325"
37984,"2000051326"
37985,"2000051330"
37986,"2000051333"
37987,"2000051334"
37988,"2000051338"
37989,"2000051341"
37990,"2000051347"
37991,"2000051348"
37992,"2000051349"
37993,"2000051364"
37994,"2000051702"
37995,"2000051705"
37996,"2000051712"
37997,"2000051715"
37998,"2000051717"
37999,"2000051725"
38000,"2000051726"
38001,"2000051730"
38002,"2000051733"
38003,"2000051734"
38004,"2000051735"
38005,"2000051738"
38006,"2000051741"
38007,"2000051747"
38008,"2000051748"
38009,"2000051749"
38010,"2000051751"
38011,"2000051764"
38012,"2000051802"
38013,"2000051805"
38014,"2000051812"
38015,"2000051815"
38016,"2000051817"
38017,"2000051825"
38018,"2000051826"
38019,"2000051830"
38020,"2000051833"
38021,"2000051834"
38022,"2000051835"
38023,"2000051838"
38024,"2000051841"
38025,"2000051847"
38026,"2000051848"
38027,"2000051849"
38028,"2000051851"
38029,"2000051864"
38030,"2000051902"
38031,"2000051905"
38032,"2000051912"
38033,"2000051915"
38034,"2000051917"
38035,"2000051925"
38036,"2000051926"
38037,"2000051930"
38038,"2000051933"
38039,"2000051934"
38040,"2000051935"
38041,"2000051938"
38042,"2000051941"
38043,"2000051947"
38044,"2000051948"
38045,"2000051949"
38046,"2000051951"
38047,"2000051964"
38048,"2000052002"
38049,"2000052005"
38050,"2000052012"
38051,"2000052015"
38052,"2000052017"
38053,"2000052025"
38054,"2000052026"
38055,"2000052030"
38056,"2000052033"
38057,"2000052034"
38058,"2000052035"
38059,"2000052038"
38060,"2000052041"
38061,"2000052047"
38062,"2000052048"
38063,"2000052049"
38064,"2000052051"
38065,"2000052064"
38066,"2000052402"
38067,"2000052405"
38068,"2000052412"
38069,"2000052415"
38070,"2000052417"
38071,"2000052425"
38072,"2000052426"
38073,"2000052428"
38074,"2000052430"
38075,"2000052433"
38076,"2000052434"
38077,"2000052435"
38078,"2000052438"
38079,"2000052441"
38080,"2000052447"
38081,"2000052448"
38082,"2000052449"
38083,"2000052451"
38084,"2000052502"
38085,"2000052505"
38086,"2000052512"
38087,"2000052515"
38088,"2000052517"
38089,"2000052525"
38090,"2000052526"
38091,"2000052528"
38092,"2000052530"
38093,"2000052533"
38094,"2000052534"
38095,"2000052535"
38096,"2000052538"
38097,"2000052541"
38098,"2000052547"
38099,"2000052548"
38100,"2000052549"
38101,"2000052551"
38102,"2000052602"
38103,"2000052605"
38104,"2000052612"
38105,"2000052615"
38106,"2000052617"
38107,"2000052625"
38108,"2000052626"
38109,"2000052628"
38110,"2000052630"
38111,"2000052633"
38112,"2000052634"
38113,"2000052635"
38114,"2000052638"
38115,"2000052641"
38116,"2000052647"
38117,"2000052648"
38118,"2000052649"
38119,"2000052651"
38120,"2000052702"
38121,"2000052705"
38122,"2000052712"
38123,"2000052715"
38124,"2000052717"
38125,"2000052725"
38126,"2000052726"
38127,"2000052728"
38128,"2000052730"
38129,"2000052733"
38130,"2000052734"
38131,"2000052735"
38132,"2000052738"
38133,"2000052741"
38134,"2000052747"
38135,"2000052748"
38136,"2000052749"
38137,"2000052751"
38138,"2000053102"
38139,"2000053105"
38140,"2000053112"
38141,"2000053115"
38142,"2000053117"
38143,"2000053125"
38144,"2000053126"
38145,"2000053128"
38146,"2000053130"
38147,"2000053134"
38148,"2000053135"
38149,"2000053138"
38150,"2000053141"
38151,"2000053147"
38152,"2000053148"
38153,"2000053149"
38154,"2000053151"
38155,"2000060102"
38156,"2000060105"
38157,"2000060112"
38158,"2000060115"
38159,"2000060117"
38160,"2000060125"
38161,"2000060126"
38162,"2000060128"
38163,"2000060134"
38164,"2000060138"
38165,"2000060141"
38166,"2000060147"
38167,"2000060148"
38168,"2000060149"
38169,"2000060151"
38170,"2000060202"
38171,"2000060205"
38172,"2000060212"
38173,"2000060215"
38174,"2000060217"
38175,"2000060225"
38176,"2000060226"
38177,"2000060228"
38178,"2000060234"
38179,"2000060238"
38180,"2000060241"
38181,"2000060247"
38182,"2000060248"
38183,"2000060249"
38184,"2000060302"
38185,"2000060305"
