,count,length_bin_id,sample_id
3317,49,24.0,1997061817
3318,37,24.5,1997061817
3319,15,25.0,1997061817
3320,8,25.5,1997061817
3321,1,26.0,1997061817
3322,2,26.5,1997061817
3323,2,20.0,1997061926
3324,2,20.5,1997061926
3325,6,21.0,1997061926
3326,5,21.5,1997061926
3327,8,22.0,1997061926
3328,10,22.5,1997061926
3329,30,23.0,1997061926
3330,52,23.5,1997061926
3331,68,24.0,1997061926
3332,49,24.5,1997061926
3333,12,25.0,1997061926
3334,4,25.5,1997061926
3335,2,26.0,1997061926
3336,1,26.5,1997061926
3337,7,27.0,1997061926
3338,3,27.5,1997061926
3339,2,28.0,1997061926
3340,2,28.5,1997061926
3341,1,20.0,1997062005
3342,3,21.0,1997062005
3343,2,21.5,1997062005
3344,2,22.0,1997062005
3345,7,22.5,1997062005
3346,27,23.0,1997062005
3347,32,23.5,1997062005
3348,40,24.0,1997062005
3349,22,24.5,1997062005
3350,11,25.0,1997062005
3351,4,25.5,1997062005
3352,2,26.0,1997062005
3353,1,26.5,1997062005
3354,1,28.0,1997062005
3355,9,23.5,1998050205
3356,10,24.0,1998050205
3357,18,24.5,1998050205
3358,9,25.0,1998050205
3359,8,25.5,1998050205
3360,8,26.0,1998050205
3361,5,26.5,1998050205
3362,2,27.0,1998050205
3363,0,27.5,1998050205
3364,1,28.0,1998050205
3365,1,22.5,1998050626
3366,8,23.0,1998050626
3367,26,23.5,1998050626
3368,59,24.0,1998050626
3369,60,24.5,1998050626
3370,48,25.0,1998050626
3371,39,25.5,1998050626
3372,20,26.0,1998050626
3373,14,26.5,1998050626
3374,3,27.0,1998050626
3375,1,27.5,1998050626
3376,1,22.0,1998050805
3377,0,22.5,1998050805
3378,6,23.0,1998050805
3379,28,23.5,1998050805
3380,42,24.0,1998050805
3381,71,24.5,1998050805
3382,63,25.0,1998050805
3383,39,25.5,1998050805
3384,17,26.0,1998050805
3385,13,26.5,1998050805
3386,13,27.0,1998050805
3387,4,27.5,1998050805
3388,5,23.0,1998050838
3389,12,23.5,1998050838
3390,38,24.0,1998050838
3391,61,24.5,1998050838
3392,55,25.0,1998050838
3393,49,25.5,1998050838
3394,31,26.0,1998050838
3395,19,26.5,1998050838
3396,10,27.0,1998050838
3397,1,27.5,1998050838
3398,6,23.0,1998050917
3399,23,23.5,1998050917
3400,38,24.0,1998050917
3401,53,24.5,1998050917
3402,44,25.0,1998050917
3403,21,25.5,1998050917
3404,24,26.0,1998050917
3405,8,26.5,1998050917
3406,8,27.0,1998050917
3407,0,27.5,1998050917
3408,1,28.0,1998050917
3409,0,28.5,1998050917
3410,0,29.0,1998050917
3411,1,29.5,1998050917
3412,1,22.5,1998051417
3413,6,23.0,1998051417
3414,25,23.5,1998051417
3415,39,24.0,1998051417
3416,41,24.5,1998051417
3417,48,25.0,1998051417
3418,31,25.5,1998051417
3419,36,26.0,1998051417
3420,21,26.5,1998051417
3421,10,27.0,1998051417
3422,1,27.5,1998051417
3423,2,28.0,1998051417
3424,1,28.5,1998051417
3425,4,22.5,1998051505
3426,10,23.0,1998051505
3427,32,23.5,1998051505
3428,47,24.0,1998051505
3429,39,24.5,1998051505
3430,64,25.0,1998051505
3431,37,25.5,1998051505
3432,33,26.0,1998051505
3433,15,26.5,1998051505
3434,8,27.0,1998051505
3435,3,27.5,1998051505
3436,1,22.5,1998051526
3437,7,23.0,1998051526
3438,21,23.5,1998051526
3439,45,24.0,1998051526
3440,59,24.5,1998051526
3441,53,25.0,1998051526
3442,35,25.5,1998051526
3443,39,26.0,1998051526
3444,22,26.5,1998051526
3445,7,27.0,1998051526
3446,3,27.5,1998051526
3447,1,28.0,1998051526
3448,6,22.5,1998051605
3449,10,23.0,1998051605
3450,46,23.5,1998051605
3451,52,24.0,1998051605
3452,50,24.5,1998051605
3453,55,25.0,1998051605
3454,35,25.5,1998051605
3455,27,26.0,1998051605
3456,8,26.5,1998051605
3457,6,27.0,1998051605
3458,1,27.5,1998051605
3459,5,23.0,1998051638
3460,15,23.5,1998051638
3461,51,24.0,1998051638
3462,73,24.5,1998051638
3463,48,25.0,1998051638
3464,38,25.5,1998051638
3465,25,26.0,1998051638
3466,15,26.5,1998051638
3467,4,27.0,1998051638
3468,1,27.5,1998051638
3469,1,22.5,1998052205
3470,10,23.0,1998052205
3471,28,23.5,1998052205
3472,55,24.0,1998052205
3473,51,24.5,1998052205
3474,60,25.0,1998052205
3475,41,25.5,1998052205
3476,25,26.0,1998052205
3477,14,26.5,1998052205
3478,4,27.0,1998052205
3479,3,27.5,1998052205
3480,2,22.5,1998052326
3481,11,23.0,1998052326
3482,24,23.5,1998052326
3483,64,24.0,1998052326
3484,70,24.5,1998052326
3485,47,25.0,1998052326
3486,39,25.5,1998052326
3487,21,26.0,1998052326
3488,14,26.5,1998052326
3489,3,27.0,1998052326
3490,1,27.5,1998052326
3491,2,22.5,1998052738
3492,5,23.0,1998052738
3493,14,23.5,1998052738
3494,22,24.0,1998052738
3495,20,24.5,1998052738
3496,18,25.0,1998052738
3497,12,25.5,1998052738
3498,7,26.0,1998052738
3499,3,26.5,1998052738
3500,1,27.0,1998052738
3501,3,22.5,1998052838
3502,12,23.0,1998052838
3503,18,23.5,1998052838
3504,66,24.0,1998052838
3505,62,24.5,1998052838
3506,38,25.0,1998052838
3507,30,25.5,1998052838
3508,17,26.0,1998052838
3509,3,26.5,1998052838
3510,1,27.0,1998052838
3511,13,23.0,1998052926
3512,33,23.5,1998052926
3513,81,24.0,1998052926
3514,69,24.5,1998052926
3515,63,25.0,1998052926
3516,17,25.5,1998052926
3517,23,26.0,1998052926
3518,8,26.5,1998052926
3519,7,27.0,1998052926
3520,2,22.5,1998053017
3521,8,23.0,1998053017
3522,21,23.5,1998053017
3523,56,24.0,1998053017
3524,60,24.5,1998053017
3525,57,25.0,1998053017
3526,30,25.5,1998053017
3527,40,26.0,1998053017
3528,7,26.5,1998053017
3529,11,27.0,1998053017
3530,1,27.5,1998053017
3531,2,28.0,1998053017
3532,1,20.5,1998060305
3533,1,21.0,1998060305
3534,4,21.5,1998060305
3535,12,22.0,1998060305
3536,18,22.5,1998060305
3537,53,23.0,1998060305
3538,63,23.5,1998060305
3539,42,24.0,1998060305
3540,34,24.5,1998060305
3541,25,25.0,1998060305
3542,11,25.5,1998060305
3543,9,26.0,1998060305
3544,5,26.5,1998060305
3545,3,27.0,1998060305
3546,3,27.5,1998060305
3547,2,21.5,1998060605
3548,4,22.0,1998060605
3549,4,22.5,1998060605
3550,3,23.0,1998060605
3551,16,23.5,1998060605
3552,18,24.0,1998060605
3553,10,24.5,1998060605
3554,5,25.0,1998060605
3555,3,25.5,1998060605
3556,1,26.5,1998060605
3557,1,27.0,1998060605
3558,1,20.5,1998061017
3559,1,21.5,1998061017
3560,2,22.0,1998061017
3561,8,22.5,1998061017
3562,5,23.0,1998061017
3563,9,23.5,1998061017
3564,12,24.0,1998061017
3565,1,24.5,1998061017
3566,1,25.0,1998061017
3567,1,25.5,1998061017
3568,1,28.0,1998061017
3569,1,21.5,1998061317
3570,3,22.0,1998061317
3571,8,23.0,1998061317
3572,6,23.5,1998061317
3573,5,24.0,1998061317
3574,4,24.5,1998061317
3575,1,25.0,1998061317
3576,1,25.5,1998061317
3577,1,26.5,1998061317
3578,1,28.5,1998061317
3579,1,23.0,1999050505
3580,0,23.5,1999050505
3581,5,24.0,1999050505
3582,15,24.5,1999050505
3583,25,25.0,1999050505
3584,40,25.5,1999050505
3585,35,26.0,1999050505
3586,40,26.5,1999050505
3587,20,27.0,1999050505
3588,15,27.5,1999050505
3589,3,28.0,1999050505
3590,1,28.5,1999050505
3591,1,23.0,1999050717
3592,1,23.5,1999050717
3593,6,24.0,1999050717
3594,20,24.5,1999050717
3595,35,25.0,1999050717
3596,35,25.5,1999050717
3597,45,26.0,1999050717
3598,30,26.5,1999050717
3599,19,27.0,1999050717
3600,6,27.5,1999050717
3601,1,28.0,1999050717
3602,1,28.5,1999050717
3603,2,29.0,1999050717
3604,4,24.0,1999050737
3605,8,24.5,1999050737
3606,17,25.0,1999050737
