,sample_id,length_bin_id,count
9092,2015062312,23.0,39
9093,2015062312,23.5,47
9094,2015062312,24.0,28
9095,2015062312,24.5,20
9096,2015062312,25.0,13
9097,2015062312,25.5,16
9098,2015062312,26.0,9
9099,2015062312,26.5,1
9100,2015062341,21.0,1
9101,2015062341,21.5,4
9102,2015062341,22.0,9
9103,2015062341,22.5,25
9104,2015062341,23.0,50
9105,2015062341,23.5,47
9106,2015062341,24.0,33
9107,2015062341,24.5,25
9108,2015062341,25.0,13
9109,2015062341,25.5,2
9110,2015062341,26.0,2
9111,2015062341,26.5,2
9112,2015062362,21.0,2
9113,2015062362,21.5,5
9114,2015062362,22.0,15
9115,2015062362,22.5,27
9116,2015062362,23.0,37
9117,2015062362,23.5,42
9118,2015062362,24.0,41
9119,2015062362,24.5,21
9120,2015062362,25.0,13
9121,2015062362,25.5,10
9122,2015062362,26.0,3
9123,2015062362,26.5,4
9124,2015062362,27.0,1
9125,2015062547,20.5,2
9126,2015062547,21.0,3
9127,2015062547,21.5,12
9128,2015062547,22.0,23
9129,2015062547,22.5,38
9130,2015062547,23.0,52
9131,2015062547,23.5,43
9132,2015062547,24.0,32
9133,2015062547,24.5,11
9134,2015062547,25.0,3
9135,2015062547,25.5,5
9136,2015062547,26.0,1
9137,2015062547,26.5,2
9138,2015062625,21.0,1
9139,2015062625,21.5,10
9140,2015062625,22.0,27
9141,2015062625,22.5,40
9142,2015062625,23.0,43
9143,2015062625,23.5,41
9144,2015062625,24.0,38
9145,2015062625,24.5,17
9146,2015062625,25.0,11
9147,2015062625,25.5,7
9148,2015062625,26.0,2
9149,2015062625,26.5,1
9150,2015062651,20.5,1
9151,2015062651,21.0,8
9152,2015062651,21.5,11
9153,2015062651,22.0,23
9154,2015062651,22.5,43
9155,2015062651,23.0,53
9156,2015062651,23.5,38
9157,2015062651,24.0,35
9158,2015062651,24.5,14
9159,2015062651,25.0,10
9160,2015062651,25.5,3
9161,2015062651,26.0,1
9162,2015062651,27.0,1
9163,2015062651,27.5,1
9164,2016050441,22.0,3
9165,2016050441,22.5,6
9166,2016050441,23.0,24
9167,2016050441,23.5,26
9168,2016050441,24.0,37
9169,2016050441,24.5,22
9170,2016050441,25.0,18
9171,2016050441,25.5,19
9172,2016050441,26.0,6
9173,2016050441,26.5,3
9174,2016050441,27.0,1
9175,2016050441,27.5,1
9176,2016051025,22.0,1
9177,2016051025,22.5,3
9178,2016051025,23.0,16
9179,2016051025,23.5,41
9180,2016051025,24.0,53
9181,2016051025,24.5,35
9182,2016051025,25.0,21
9183,2016051025,25.5,27
9184,2016051025,26.0,9
9185,2016051025,26.5,4
9186,2016051025,27.0,2
9187,2016051033,22.5,3
9188,2016051033,23.0,14
9189,2016051033,23.5,41
9190,2016051033,24.0,40
9191,2016051033,24.5,41
9192,2016051033,25.0,42
9193,2016051033,25.5,21
9194,2016051033,26.0,9
9195,2016051033,26.5,4
9196,2016051033,27.0,2
9197,2016051047,22.0,2
9198,2016051047,22.5,5
9199,2016051047,23.0,19
9200,2016051047,23.5,35
9201,2016051047,24.0,47
9202,2016051047,24.5,52
9203,2016051047,25.0,30
9204,2016051047,25.5,20
9205,2016051047,26.0,8
9206,2016051047,26.5,1
9207,2016051047,27.0,2
9208,2016051415,21.5,1
9209,2016051415,22.5,2
9210,2016051415,23.0,7
9211,2016051415,23.5,22
9212,2016051415,24.0,53
9213,2016051415,24.5,53
9214,2016051415,25.0,44
9215,2016051415,25.5,23
9216,2016051415,26.0,13
9217,2016051415,26.5,2
9218,2016051441,22.5,5
9219,2016051441,23.0,19
9220,2016051441,23.5,43
9221,2016051441,24.0,48
9222,2016051441,24.5,38
9223,2016051441,25.0,39
9224,2016051441,25.5,16
9225,2016051441,26.0,7
9226,2016051441,26.5,4
9227,2016051441,27.0,1
9228,2016051441,27.5,2
9229,2016051441,29.5,1
9230,2016051462,21.0,1
9231,2016051462,22.0,4
